Date,Value
04/18/2024,"149.93"
04/17/2024,"155.45"
04/16/2024,"157.11"
04/15/2024,"161.48"
04/12/2024,"171.05
04/11/2024,"174.60"
04/10/2024,"171.76"
04/09/2024,"176.88"
04/08/2024,"172.98"
04/05/2024,"164.90"
04/04/2024,"171.11"
04/03/2024,"168.38"
04/02/2024,"166.63"
04/01/2024,"175.22"
03/28/2024,"175.79"
03/27/2024,"179.83"
03/26/2024,"177.67"
03/25/2024,"172.63"
03/22/2024,"170.83"
03/21/2024,"172.82"
03/20/2024,"175.66"
03/19/2024,"171.32"
